model,Original,Wicked
DSR1-Distill-Llama-8B,2.018955948834999958,80.153092441
DSR1-Distill-Qwen-7B,2.517423205900002,74.9513092441
Llama3.1-8B,5.827386701999998,53.920213294
Llama3.1-8B-IT,3.4483670380000007,57.20213294
Mistral-7B,11.619999999999997,36.38
Mistral-7B-IT,4.969999999999999,43.88
Qwen2.5-7B,14.620000013999999,43.03
Qwen2.5-7B-IT,1.7318181629999998,55.418181818
Qwen2.5-14B,3.9737808040000004,61.513092441
Qwen2.5-14B-IT,1.432219717999999,64.054653527
Gemma2-9B,8.933066098999994,41.25293391
Gemma2-9B-IT,4.360900000000001,56.3391
Gemma2-27B,4.0687,59.2813
Gemma2-27B-IT,3.766699999999993,60.3333



